f;g;p;;;f1;g1;p1
0.05;0.05;0.0037621;;;0.05;0.05;0.0037628
0.05;0.1;0.0019157;;;0.05;0.1;0.0019164
0.05;0.15;0.0013003;;;0.05;0.15;0.0013009
0.05;0.2;9.93E-04;;;0.05;0.2;9.93E-04
0.05;0.25;8.08E-04;;;0.05;0.25;8.09E-04
0.05;0.3;6.85E-04;;;0.05;0.3;6.85E-04
0.05;0.35;5.97E-04;;;0.05;0.35;5.98E-04
0.05;0.4;5.31E-04;;;0.05;0.4;5.32E-04
0.05;0.45;4.80E-04;;;0.05;0.45;4.80E-04
0.05;0.5;4.39E-04;;;0.05;0.5;4.39E-04
0.05;0.55;4.05E-04;;;0.05;0.55;4.06E-04
0.05;0.6;3.77E-04;;;0.05;0.6;3.78E-04
0.05;0.65;3.53E-04;;;0.05;0.65;3.54E-04
0.05;0.7;3.33E-04;;;0.05;0.7;3.34E-04
0.05;0.75;3.16E-04;;;0.05;0.75;3.16E-04
0.05;0.8;3.00E-04;;;0.05;0.8;3.01E-04
0.05;0.85;2.87E-04;;;0.05;0.85;2.87E-04
0.05;0.9;2.74E-04;;;0.05;0.9;2.75E-04
0.05;0.95;2.64E-04;;;0.05;0.95;2.64E-04
0.05;1;2.54E-04;;;0.05;1;2.55E-04
0.1;0.05;0.0075242;;;0.1;0.05;0.0075256
0.1;0.1;0.0038314;;;0.1;0.1;0.0038328
0.1;0.15;0.0026005;;;0.1;0.15;0.0026019
0.1;0.2;0.001985;;;0.1;0.2;0.0019864
0.1;0.25;0.0016158;;;0.1;0.25;0.0016171
0.1;0.3;0.0013696;;;0.1;0.3;0.0013709
0.1;0.35;0.0011937;;;0.1;0.35;0.0011951
0.1;0.4;0.0010618;;;0.1;0.4;0.0010632
0.1;0.45;9.59E-04;;;0.1;0.45;9.61E-04
0.1;0.5;8.77E-04;;;0.1;0.5;8.79E-04
0.1;0.55;8.10E-04;;;0.1;0.55;8.11E-04
0.1;0.6;7.54E-04;;;0.1;0.6;7.55E-04
0.1;0.65;7.07E-04;;;0.1;0.65;7.08E-04
0.1;0.7;6.66E-04;;;0.1;0.7;6.68E-04
0.1;0.75;6.31E-04;;;0.1;0.75;6.32E-04
0.1;0.8;6.00E-04;;;0.1;0.8;6.02E-04
0.1;0.85;5.73E-04;;;0.1;0.85;5.74E-04
0.1;0.9;5.49E-04;;;0.1;0.9;5.50E-04
0.1;0.95;5.27E-04;;;0.1;0.95;5.29E-04
0.1;1;5.08E-04;;;0.1;1;5.09E-04
0.15;0.05;0.011286;;;0.15;0.05;0.011288
0.15;0.1;0.0057471;;;0.15;0.1;0.0057492
0.15;0.15;0.0039008;;;0.15;0.15;0.0039028
0.15;0.2;0.0029776;;;0.15;0.2;0.0029796
0.15;0.25;0.0024237;;;0.15;0.25;0.0024257
0.15;0.3;0.0020544;;;0.15;0.3;0.0020564
0.15;0.35;0.0017906;;;0.15;0.35;0.0017926
0.15;0.4;0.0015928;;;0.15;0.4;0.0015948
0.15;0.45;0.0014389;;;0.15;0.45;0.0014409
0.15;0.5;0.0013158;;;0.15;0.5;0.0013178
0.15;0.55;0.0012151;;;0.15;0.55;0.0012171
0.15;0.6;0.0011312;;;0.15;0.6;0.0011332
0.15;0.65;0.0010601;;;0.15;0.65;0.0010622
0.15;0.7;9.99E-04;;;0.15;0.7;0.0010013
0.15;0.75;9.47E-04;;;0.15;0.75;9.49E-04
0.15;0.8;9.00E-04;;;0.15;0.8;9.02E-04
0.15;0.85;8.60E-04;;;0.15;0.85;8.62E-04
0.15;0.9;8.23E-04;;;0.15;0.9;8.25E-04
0.15;0.95;7.91E-04;;;0.15;0.95;7.93E-04
0.15;1;7.62E-04;;;0.15;1;7.64E-04
0.2;0.05;0.015048;;;0.2;0.05;0.015051
0.2;0.1;0.0076629;;;0.2;0.1;0.0076656
0.2;0.15;0.005201;;;0.2;0.15;0.0052037
0.2;0.2;0.0039701;;;0.2;0.2;0.0039728
0.2;0.25;0.0032315;;;0.2;0.25;0.0032343
0.2;0.3;0.0027392;;;0.2;0.3;0.0027419
0.2;0.35;0.0023875;;;0.2;0.35;0.0023902
0.2;0.4;0.0021237;;;0.2;0.4;0.0021264
0.2;0.45;0.0019185;;;0.2;0.45;0.0019213
0.2;0.5;0.0017544;;;0.2;0.5;0.0017571
0.2;0.55;0.0016201;;;0.2;0.55;0.0016228
0.2;0.6;0.0015082;;;0.2;0.6;0.0015109
0.2;0.65;0.0014135;;;0.2;0.65;0.0014162
0.2;0.7;0.0013324;;;0.2;0.7;0.0013351
0.2;0.75;0.001262;;;0.2;0.75;0.0012647
0.2;0.8;0.0012005;;;0.2;0.8;0.0012032
0.2;0.85;0.0011462;;;0.2;0.85;0.0011489
0.2;0.9;0.0010979;;;0.2;0.9;0.0011006
0.2;0.95;0.0010547;;;0.2;0.95;0.0010574
0.2;1;0.0010158;;;0.2;1;0.0010185
0.25;0.05;0.01881;;;0.25;0.05;0.018814
0.25;0.1;0.0095786;;;0.25;0.1;0.009582
0.25;0.15;0.0065013;;;0.25;0.15;0.0065047
0.25;0.2;0.0049626;;;0.25;0.2;0.004966
0.25;0.25;0.0040394;;;0.25;0.25;0.0040428
0.25;0.3;0.003424;;;0.25;0.3;0.0034274
0.25;0.35;0.0029843;;;0.25;0.35;0.0029877
0.25;0.4;0.0026546;;;0.25;0.4;0.002658
0.25;0.45;0.0023982;;;0.25;0.45;0.0024016
0.25;0.5;0.002193;;;0.25;0.5;0.0021964
0.25;0.55;0.0020251;;;0.25;0.55;0.0020286
0.25;0.6;0.0018853;;;0.25;0.6;0.0018887
0.25;0.65;0.0017669;;;0.25;0.65;0.0017703
0.25;0.7;0.0016654;;;0.25;0.7;0.0016689
0.25;0.75;0.0015775;;;0.25;0.75;0.0015809
0.25;0.8;0.0015006;;;0.25;0.8;0.001504
0.25;0.85;0.0014327;;;0.25;0.85;0.0014361
0.25;0.9;0.0013723;;;0.25;0.9;0.0013758
0.25;0.95;0.0013183;;;0.25;0.95;0.0013218
